epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4168,1.38288,1.90508,1.49335,0.65483,0.73438,0.66655,0.36288,1.43473,1.76293,1.34546,0.000653846,0.000653846,0.000653846
2,127.004,1.41576,1.3791,1.5021,0.62207,0.77159,0.76091,0.38269,1.63929,1.47401,1.54081,0.00130744,0.00130744,0.00130744
3,190.249,1.41915,1.33712,1.48716,0.75199,0.75809,0.80789,0.41913,1.54126,1.8954,1.57188,0.00194783,0.00194783,0.00194783
4,251.091,1.42932,1.30341,1.48147,0.50875,0.5625,0.52097,0.25837,1.73371,2.56451,1.58274,0.0019406,0.0019406,0.0019406
5,311.715,1.42448,1.28724,1.46714,0.76206,0.92188,0.87134,0.47784,1.51099,1.29242,1.4333,0.0019208,0.0019208,0.0019208
6,374.953,1.39586,1.19831,1.44827,0.85782,0.96875,0.94339,0.50215,1.52498,1.10904,1.45649,0.001901,0.001901,0.001901
7,434.882,1.35986,1.1438,1.43173,0.81323,0.90625,0.92569,0.54314,1.40359,1.18036,1.36211,0.0018812,0.0018812,0.0018812
8,499.641,1.33897,1.10916,1.42267,0.69269,0.85938,0.83611,0.47956,1.43233,1.30974,1.45041,0.0018614,0.0018614,0.0018614
9,562.761,1.31355,1.10875,1.42444,0.84443,0.875,0.92437,0.51994,1.52714,1.17042,1.41617,0.0018416,0.0018416,0.0018416
10,630.693,1.31351,1.08139,1.39492,0.83944,0.9375,0.91713,0.48326,1.71642,1.07635,1.65521,0.0018218,0.0018218,0.0018218
11,696.339,1.31794,1.05971,1.4125,0.88034,0.80472,0.84765,0.43601,1.64778,1.15086,1.5472,0.001802,0.001802,0.001802
12,759.985,1.30265,1.05481,1.40961,0.75949,0.74019,0.83018,0.42786,1.71003,1.30564,1.56447,0.0017822,0.0017822,0.0017822
